File Name,Total Questions,Empty Questions,Empty Answers
agri_economics.csv,50,0,0
agri_miscellaneous_2.csv,156,0,0
agri_startup.csv,50,0,0
agri_tech.csv,97,0,0
banana.csv,103,0,0
beekeeping.csv,70,0,0
bio_control.csv,50,0,0
brinjal.csv,100,0,0
business.csv,99,0,0
cabbage.csv,99,0,0
cauliflower.csv,100,0,0
chilli.csv,100,0,0
coriander.csv,98,0,0
crop_safety.csv,50,0,0
crop_safety_2.csv,100,0,0
dairy.csv,99,0,0
disease.csv,207,0,0
disease_advanced.csv,100,0,0
dragon_fruit.csv,99,0,0
fertilizer.csv,100,0,0
floriculture.csv,99,0,0
fruits.csv,100,0,0
fungicides.csv,50,0,0
garlic.csv,129,0,0
ginger.csv,99,0,0
government.csv,100,0,0
guava.csv,100,0,0
herbicides.csv,50,0,0
insecticides.csv,50,0,0
ipm.csv,50,0,0
irrigation.csv,50,0,0
litchi.csv,100,0,0
livestock.csv,87,0,0
livestock_diseases.csv,50,0,0
machinery.csv,99,0,0
maize.csv,250,0,0
makhana.csv,102,0,0
mango.csv,99,0,0
medicinal_plants.csv,100,0,0
miscellaneous.csv,100,0,0
mushroom.csv,95,0,0
mustard.csv,210,0,0
okra.csv,97,0,0
onion.csv,129,0,0
organic_farming.csv,49,0,0
papaya.csv,100,0,0
pea.csv,99,0,0
pest.csv,208,0,0
pest_advanced.csv,111,0,0
potato.csv,165,0,0
poultry.csv,99,0,0
pulses.csv,207,0,0
rice.csv,251,0,0
soil.csv,98,0,0
sugarcane.csv,95,0,0
tomato.csv,105,0,0
turmeric.csv,99,0,0
vegetables.csv,99,0,0
weather.csv,97,0,0
wheat.csv,237,0,0
